# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.4.1

_anicat_::chat, long, 0000000000000002
_waind_::chat, long, 0000000000000002
alandejaneiro::chat, long, 0000000000000002
bagelben::chat, long, 0000000000000001
"blocks::auth:-108.5,59.5,248.5::placedbyplayer", boolean, 01
blocks::gopnik::clicks, double, BCC3800000000000
blocks::hornydog::clicks, double, BC9C000000000000
blocks::muffinok1::clicks, double, BCE8E00000000000
blocks::playfarca::clicks, double, BC9C000000000000
"blocks::world:-2461.5,63.5,-121.5::id", long, 0000000000000047
"blocks::world:-2461.5,63.5,-121.5::placedbyplayer", boolean, 01
"blocks::world:-2464.5,64.5,-122.5::id", long, 00000000000001EF
"blocks::world:-2464.5,64.5,-122.5::placedbyplayer", boolean, 01
"blocks::world:-2517.5,62.5,-54.5::armor", long, 0000000000000005
"blocks::world:-2518.5,62.5,-54.5::armor", long, FFFFFFFFFFFFFFFE
"blocks::world:-2519.5,62.5,-54.5::armor", long, FFFFFFFFFFFFFFFE
"blocks::world:-2520.5,62.5,-54.5::armor", long, 0000000000000008
"blocks::world:-2520.5,76.5,205.5::armor", long, FFFFFFFFFFFFFFFE
"blocks::world:-2520.5,76.5,205.5::placedbyplayer", boolean, 01
"blocks::world:-2520.5,76.5,205.5::type", string, 8009776F726B62656E6368
"blocks::world:-2522.5,76.5,205.5::placedbyplayer", boolean, 01
"blocks::world:-2524.5,76.5,206.5::armor", double, BFF0000000000000
"blocks::world:-2524.5,76.5,206.5::placedbyplayer", boolean, 00
"blocks::world:-2525.5,72.5,182.5::placedbyplayer", boolean, 01
"blocks::world:-2525.5,72.5,184.5::placedbyplayer", boolean, 01
"blocks::world:-2526.5,72.5,184.5::placedbyplayer", boolean, 01
"blocks::world:-2527.5,72.5,182.5::placedbyplayer", boolean, 01
"blocks::world:-2527.5,72.5,184.5::placedbyplayer", boolean, 01
"blocks::world:-2610.5,69.5,60.5::placedbyplayer", boolean, 01
"blocks::world:-2610.5,69.5,61.5::placedbyplayer", boolean, 01
"blocks::world:-2610.5,70.5,60.5::placedbyplayer", boolean, 01
"blocks::world:-2628.5,86.5,-137.5::placedbyplayer", boolean, 01
"blocks::world:-2629.5,86.5,-136.5::placedbyplayer", boolean, 01
"blocks::world:-2629.5,86.5,-137.5::placedbyplayer", boolean, 01
"blocks::world:-2629.5,87.5,-137.5::placedbyplayer", boolean, 01
"blocks::world:-2629.5,88.5,-137.5::placedbyplayer", boolean, 01
"blocks::world:-2630.5,86.5,-135.5::placedbyplayer", boolean, 01
"blocks::world:-2630.5,86.5,-136.5::placedbyplayer", boolean, 01
"blocks::world:-2630.5,86.5,-137.5::placedbyplayer", boolean, 01
"blocks::world:-2630.5,86.5,-138.5::placedbyplayer", boolean, 01
"blocks::world:-2630.5,87.5,-137.5::placedbyplayer", boolean, 01
